Author
"Tom Clancy"
"Gabriel Garcia Marqez"
"Jonathan Swift"
"Francois"
"Robert Louis Stevenson"
"Sebastien-Roch-Nicolas de Chamfort"
"Yahia Lababidi"
"Edward Bulwer-Lytton"
"Alexis de Tocqueville"
"Reinhold Niebuhr"
"JG Ballard"
"Steven Weinberg"
"Horace Walpole"
"Tennessee Williams"
"Clarence Darrow"
"Bill Maher"
"Richard Dawkins"
"Stephen Walt"
"John Maynard Keynes"
"Franz Kafka"
"Alexander Solzhenitsyn"
"William Styron"
"Abraham Flexner"
"Arthur Koestler"
"Noah Webster"
"Banksy"
"Thomas Paine"
"George Santayana, philosopher"
"Christopher Hitchens"
"George Marshall"
"Geroge Leslie Brook"
"Robert A. Heinlein"
"John Ray"
"Evelyn Waugh"
"Susan B. Anthony"
"William the Silent"
"Stephen Roberts"
"Wislawa Szymborska"
"Umberto Eco"
"Jose Ortega Y Gasset"
"Red Skelton"
"Frederick Saunders"
"Herman Melville"
"Tacitus"
"Lucius Apuleius"
"Livy"
"Lucius Accius"
"Martial"
"Ovid"
"Pliny the Elder"
"Pliny the Younger"
"Sallust"
"Marcus Annaeus Seneca"
"Virgil"
"Henri Frederic Amiel"
"Aharon Barak"
"E.L. Doctorow"
"Theodor Adorno"
"John R. Searle"
"Henry Wadsworth Longfellow"
"Margaret Atwood"
"Will Durant"
"Ben Hecht"
"Robert Green Ingersoll"
"Martin Luther King"
"Paul Auster"
"Laurence Sterne"
"Hannah Senesh"
"Martin Rees"
"Georg Christoph Lichtenberg"
"Peter Drucker"
"Stewart Brand"
"Charles F. Kettering"
"Lin Yutang"
"Thomas Hardy"
"Michel de Montaigne"
"Denis Diderot"
"Linus Pauling"
"Jonathan Zittrain"
"Albert Schweitzer"
"Lee Iacocca"
"Matsuo Basho"
"Theodore Roethke"
"John Boyle O'Reilly"
"Pierre Beaumarchais"
"Eduardo Galeano"
"Isak Dinesen"
"Fran Lebowitz"
"Frank Lloyd Wright"
"Eric Sevareid"
"Norman Mailer"
"Anatole France"
"Henry Adams"
"Hubert Horatio Humphrey"
"Elbert Hubbard"
"Daniel J. Boorstin"
"Margaret Halsey"
"Benjamin Franklin"
"Robert King Merton"
"Naguib Mahfouz"
"David Hume"
"Peter Sellers"
"Truman Capote"
"Niels Bohr"
"Dwight David Eisenhower"
"Arthur Miller"
"John le Carré"
"Stephen Bantu Biko"
"Johannes Kepler"
"Patti Smith"
"Bill Gates"
"Edith Wharton"
"Friedrich Hayek"
"Hunter S. Thompson"
"Anaïs Nin"
"Benjamin Harrison"
"Richard Harding Davis"
"Samuel Beckett"
"Anthony Burgess"
"Robert Pirsig"
"Paul Cézanne"
"Eric Temple Bell"
"John Ousterhourt"
"Philip Larkin"
"Alexander Herzen"
"Leonard Cohen"
"Fridtjof Nansen"
"Gottfried Leibniz"
"Nadine Gordimer"
"Nassim Nicholas Taleb"
"Henri-Louis Bergson"
"Pierre Teilhard de Chardin"
"Stephen Jay Gould"
"John Ralston Saul"
"William Deresiewicz"
"Henry Ford"
"Douglas W. Hubbard"
